Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 35.95      1.04     1.04 159452605     0.00     0.00  std::less<int>::operator()(int const&, int const&) const
 17.71      1.55     0.51  1000000     0.00     0.00  AVLTree<int, std::less<int> >::insert(int*)
 14.59      1.97     0.42 39035472     0.00     0.00  AVLTree<int, std::less<int> >::getHeight(AVLTree<int, std::less<int> >::Node*)
 11.11      2.29     0.32  1000000     0.00     0.00  AVLTree<int, std::less<int> >::remove(int const&, bool, AVLTree<int, std::less<int> >::Node*)
  2.43      2.36     0.07  1000000     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_get_insert_unique_pos(int const&)
  2.08      2.42     0.06 36810323     0.00     0.00  AVLTree<int, std::less<int> >::TEqual(int const&, int const&) const
  2.08      2.48     0.06 14105297     0.00     0.00  AVLTree<int, std::less<int> >::calculateBalanceFactors(AVLTree<int, std::less<int> >::Node*)
  1.74      2.53     0.05  1000000     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::equal_range(int const&)
  1.39      2.57     0.04 49003284     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_key(std::_Rb_tree_node<int> const*)
  1.04      2.60     0.03 49003284     0.00     0.00  std::_Rb_tree_node<int>::_M_valptr() const
  1.04      2.63     0.03  1264054     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr()
  1.04      2.66     0.03   632027     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<int> >::deallocate(std::_Rb_tree_node<int>*, unsigned long)
  0.87      2.68     0.03   631920     0.00     0.00  AVLTree<int, std::less<int> >::Node::Node(int*, AVLTree<int, std::less<int> >::Node*)
  0.69      2.70     0.02 49003284     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr() const
  0.69      2.72     0.02 19238184     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_left(std::_Rb_tree_node_base*)
  0.52      2.74     0.02 19634879     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_right(std::_Rb_tree_node_base*)
  0.52      2.75     0.02  2632027     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_end()
  0.35      2.76     0.01  5500118     0.00     0.00  std::_Rb_tree_iterator<int>::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.35      2.77     0.01  1000000     0.00     0.00  AVLTree<int, std::less<int> >::remove(int const&)
  0.35      2.78     0.01  1000000     0.00     0.00  std::pair<std::_Rb_tree_iterator<int>, bool>::pair<std::_Rb_tree_iterator<int>, bool, true>(std::_Rb_tree_iterator<int>&&, bool&&)
  0.35      2.79     0.01   632027     0.00     0.00  std::_Rb_tree_iterator<int> std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_insert_<int, std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_Alloc_node>(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, int&&, std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_Alloc_node&)
  0.35      2.80     0.01   632027     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_Alloc_node::_Alloc_node(std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >&)
  0.35      2.81     0.01   631919     0.00     0.00  AVLTree<int, std::less<int> >::balanceTreeInsertion(AVLTree<int, std::less<int> >::Node*)
  0.35      2.82     0.01   466176     0.00     0.00  bool std::operator==<AVLTree<int, std::less<int> >::Node*, AVLTree<int, std::less<int> >::Node*&, AVLTree<int, std::less<int> >::Node**>(std::_Deque_iterator<AVLTree<int, std::less<int> >::Node*, AVLTree<int, std::less<int> >::Node*&, AVLTree<int, std::less<int> >::Node**> const&, std::_Deque_iterator<AVLTree<int, std::less<int> >::Node*, AVLTree<int, std::less<int> >::Node*&, AVLTree<int, std::less<int> >::Node**> const&)
  0.35      2.83     0.01   466175     0.00     0.00  void __gnu_cxx::new_allocator<AVLTree<int, std::less<int> >::Node*>::destroy<AVLTree<int, std::less<int> >::Node*>(AVLTree<int, std::less<int> >::Node**)
  0.35      2.84     0.01   466175     0.00     0.00  void __gnu_cxx::new_allocator<AVLTree<int, std::less<int> >::Node*>::construct<AVLTree<int, std::less<int> >::Node*, AVLTree<int, std::less<int> >::Node* const&>(AVLTree<int, std::less<int> >::Node**, AVLTree<int, std::less<int> >::Node* const&)
  0.35      2.85     0.01   466175     0.00     0.00  std::deque<AVLTree<int, std::less<int> >::Node*, std::allocator<AVLTree<int, std::less<int> >::Node*> >::pop_back()
  0.35      2.86     0.01    94362     0.00     0.00  AVLTree<int, std::less<int> >::RotateLR(bool, AVLTree<int, std::less<int> >::Node*, AVLTree<int, std::less<int> >::Node*, AVLTree<int, std::less<int> >::Node*, AVLTree<int, std::less<int> >::Node*)
  0.35      2.87     0.01    89088     0.00     0.00  AVLTree<int, std::less<int> >::RotateRL(bool, AVLTree<int, std::less<int> >::Node*, AVLTree<int, std::less<int> >::Node*, AVLTree<int, std::less<int> >::Node*, AVLTree<int, std::less<int> >::Node*)
  0.17      2.88     0.01   632027     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_put_node(std::_Rb_tree_node<int>*)
  0.17      2.88     0.01        1     5.00     5.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<int> >::new_allocator()
  0.00      2.88     0.00 49003284     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr() const
  0.00      2.88     0.00 49003284     0.00     0.00  std::_Identity<int>::operator()(int const&) const
  0.00      2.88     0.00  4424189     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      2.88     0.00  4000004     0.00     0.00  std::_Rb_tree_const_iterator<int>::_Rb_tree_const_iterator(std::_Rb_tree_iterator<int> const&)
  0.00      2.88     0.00  3000000     0.00     0.00  std::_Rb_tree_iterator<int>&& std::forward<std::_Rb_tree_iterator<int> >(std::remove_reference<std::_Rb_tree_iterator<int> >::type&)
  0.00      2.88     0.00  2528108     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_get_Node_allocator()
  0.00      2.88     0.00  2000001     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_begin()
  0.00      2.88     0.00  2000000     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::size() const
  0.00      2.88     0.00  1730273     0.00     0.00  operator new(unsigned long, void*)
  0.00      2.88     0.00  1632026     0.00     0.00  std::_Identity<int>::operator()(int&) const
  0.00      2.88     0.00  1632016     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_key(std::_Rb_tree_node_base const*)
  0.00      2.88     0.00  1500114     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::begin()
  0.00      2.88     0.00  1399320     0.00     0.00  std::_Rb_tree_const_iterator<int>::operator!=(std::_Rb_tree_const_iterator<int> const&) const
  0.00      2.88     0.00  1264054     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr()
  0.00      2.88     0.00  1264054     0.00     0.00  std::_Rb_tree_node<int>::_M_valptr()
  0.00      2.88     0.00  1000004     0.00     0.00  std::_Rb_tree_const_iterator<int>::operator==(std::_Rb_tree_const_iterator<int> const&) const
  0.00      2.88     0.00  1000000     0.00     0.00  AVLTree<int, std::less<int> >::insert(int const&)
  0.00      2.88     0.00  1000000     0.00     0.00  std::set<int, std::less<int>, std::allocator<int> >::erase(int const&)
  0.00      2.88     0.00  1000000     0.00     0.00  std::set<int, std::less<int>, std::allocator<int> >::insert(int&&)
  0.00      2.88     0.00  1000000     0.00     0.00  std::pair<std::_Rb_tree_iterator<int>, std::_Rb_tree_iterator<int> >::pair<std::_Rb_tree_iterator<int>, std::_Rb_tree_iterator<int>, true>(std::_Rb_tree_iterator<int>&&, std::_Rb_tree_iterator<int>&&)
  0.00      2.88     0.00  1000000     0.00     0.00  std::pair<std::_Rb_tree_const_iterator<int>, bool>::pair<std::_Rb_tree_iterator<int>&, bool&, true>(std::_Rb_tree_iterator<int>&, bool&)
  0.00      2.88     0.00  1000000     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_erase_aux(std::_Rb_tree_const_iterator<int>, std::_Rb_tree_const_iterator<int>)
  0.00      2.88     0.00  1000000     0.00     0.00  std::pair<std::_Rb_tree_iterator<int>, bool> std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_insert_unique<int>(int&&)
  0.00      2.88     0.00  1000000     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::erase(int const&)
  0.00      2.88     0.00  1000000     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
