Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
 33.34      0.01     0.01  1981678     5.05     5.05  std::less<int>::operator()(int const&, int const&) const
 33.34      0.02     0.01   410416    24.37    24.37  AVLTreeInternals::AVLTreeBase<int, std::less<int> >::getHeight(AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*)
 33.34      0.03     0.01    20000   500.11   936.30  AVLTreeInternals::AVLTreeBase<int, std::less<int> >::insert(int)
  0.00      0.03     0.00  1290212     0.00     5.05  AVLTree<int, std::less<int> >::TCompare(AVLTreeInternals::NodeData<int> const&, AVLTreeInternals::NodeData<int> const&) const
  0.00      0.03     0.00   691458     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr() const
  0.00      0.03     0.00   691458     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr() const
  0.00      0.03     0.00   691458     0.00     0.00  std::_Rb_tree_node<int>::_M_valptr() const
  0.00      0.03     0.00   691458     0.00     0.00  std::_Identity<int>::operator()(int const&) const
  0.00      0.03     0.00   691458     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_key(std::_Rb_tree_node<int> const*)
  0.00      0.03     0.00   520130     0.00     7.69  AVLTreeInternals::AVLTreeBase<int, std::less<int> >::TEqual(int const&, int const&) const
  0.00      0.03     0.00   275185     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_left(std::_Rb_tree_node_base*)
  0.00      0.03     0.00   269560     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_right(std::_Rb_tree_node_base*)
  0.00      0.03     0.00   206498     0.00    48.44  AVLTreeInternals::AVLTreeBase<int, std::less<int> >::calculateBalanceFactor(AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*)
  0.00      0.03     0.00   109924     0.00     0.00  std::_Rb_tree_iterator<int>::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      0.03     0.00    88571     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      0.03     0.00    80000     0.00     0.00  std::_Rb_tree_const_iterator<int>::_Rb_tree_const_iterator(std::_Rb_tree_iterator<int> const&)
  0.00      0.03     0.00    60000     0.00     0.00  std::_Rb_tree_iterator<int>&& std::forward<std::_Rb_tree_iterator<int> >(std::remove_reference<std::_Rb_tree_iterator<int> >::type&)
  0.00      0.03     0.00    52653     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_end()
  0.00      0.03     0.00    50612     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_get_Node_allocator()
  0.00      0.03     0.00    40001     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_begin()
  0.00      0.03     0.00    40000     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::size() const
  0.00      0.03     0.00    32652     0.00     0.00  std::_Identity<int>::operator()(int&) const
  0.00      0.03     0.00    32644     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_key(std::_Rb_tree_node_base const*)
  0.00      0.03     0.00    29984     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.03     0.00    29924     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::begin()
  0.00      0.03     0.00    28005     0.00     0.00  std::_Rb_tree_const_iterator<int>::operator!=(std::_Rb_tree_const_iterator<int> const&) const
  0.00      0.03     0.00    25306     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr()
  0.00      0.03     0.00    25306     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr()
  0.00      0.03     0.00    25306     0.00     0.00  std::_Rb_tree_node<int>::_M_valptr()
  0.00      0.03     0.00    20000     0.00   389.52  AVLTreeInternals::AVLTreeBase<int, std::less<int> >::remove(int)
  0.00      0.03     0.00    20000     0.00     0.00  std::_Rb_tree_const_iterator<int>::operator==(std::_Rb_tree_const_iterator<int> const&) const
  0.00      0.03     0.00    20000     0.00   101.49  std::set<int, std::less<int>, std::allocator<int> >::erase(int const&)
  0.00      0.03     0.00    20000     0.00    73.01  std::set<int, std::less<int>, std::allocator<int> >::insert(int&&)
  0.00      0.03     0.00    20000     0.00     0.00  std::pair<std::_Rb_tree_iterator<int>, std::_Rb_tree_iterator<int> >::pair<std::_Rb_tree_iterator<int>, std::_Rb_tree_iterator<int>, true>(std::_Rb_tree_iterator<int>&&, std::_Rb_tree_iterator<int>&&)
  0.00      0.03     0.00    20000     0.00     0.00  std::pair<std::_Rb_tree_iterator<int>, bool>::pair<std::_Rb_tree_iterator<int>, bool, true>(std::_Rb_tree_iterator<int>&&, bool&&)
  0.00      0.03     0.00    20000     0.00     0.00  std::pair<std::_Rb_tree_const_iterator<int>, bool>::pair<std::_Rb_tree_iterator<int>&, bool&, true>(std::_Rb_tree_iterator<int>&, bool&)
  0.00      0.03     0.00    20000     0.00   101.49  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::equal_range(int const&)
  0.00      0.03     0.00    20000     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_erase_aux(std::_Rb_tree_const_iterator<int>, std::_Rb_tree_const_iterator<int>)
  0.00      0.03     0.00    20000     0.00    73.01  std::pair<std::_Rb_tree_iterator<int>, bool> std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_insert_unique<int>(int&&)
  0.00      0.03     0.00    20000     0.00    69.81  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_get_insert_unique_pos(int const&)
  0.00      0.03     0.00    20000     0.00   101.49  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::erase(int const&)
  0.00      0.03     0.00    20000     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00      0.03     0.00    20000     0.00     0.00  std::_Rb_tree_node_base*& std::forward<std::_Rb_tree_node_base*&>(std::remove_reference<std::_Rb_tree_node_base*&>::type&)
  0.00      0.03     0.00    20000     0.00     0.00  std::_Rb_tree_iterator<int>& std::forward<std::_Rb_tree_iterator<int>&>(std::remove_reference<std::_Rb_tree_iterator<int>&>::type&)
  0.00      0.03     0.00    20000     0.00     0.00  bool& std::forward<bool&>(std::remove_reference<bool&>::type&)
  0.00      0.03     0.00    20000     0.00     0.00  bool&& std::forward<bool>(std::remove_reference<bool>::type&)
  0.00      0.03     0.00    12702     0.00     0.00  AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node::Node(int, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*)
  0.00      0.03     0.00    12702     0.00     0.00  AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node::~Node()
  0.00      0.03     0.00    12701     0.00   426.99  AVLTreeInternals::AVLTreeBase<int, std::less<int> >::balanceInsert(AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*)
  0.00      0.03     0.00    12653     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<int> >::deallocate(std::_Rb_tree_node<int>*, unsigned long)
  0.00      0.03     0.00    12653     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<int> >::destroy<int>(int*)
  0.00      0.03     0.00    12653     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<int> >::allocate(unsigned long, void const*)
  0.00      0.03     0.00    12653     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<int> >::construct<int, int>(int*, int&&)
  0.00      0.03     0.00    12653     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<int> >::max_size() const
  0.00      0.03     0.00    12653     0.00     0.00  std::_Rb_tree_node<int>* std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_Alloc_node::operator()<int>(int&&) const
