Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 30.53      0.87     0.87 142742932     0.00     0.00  std::less<int>::operator()(int const&, int const&) const
 15.79      1.32     0.45  1000000     0.00     0.00  AVLTreeInternals::AVLTreeBase<int, std::less<int> >::remove(int)
 13.34      1.70     0.38 28931960     0.00     0.00  AVLTreeInternals::AVLTreeBase<int, std::less<int> >::getHeight(AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*)
 10.88      2.01     0.31  1000000     0.00     0.00  AVLTreeInternals::AVLTreeBase<int, std::less<int> >::insert(int)
  3.69      2.12     0.11 93739640     0.00     0.00  AVLTree<int, std::less<int> >::TCompare(AVLTreeInternals::NodeData<int> const&, AVLTreeInternals::NodeData<int> const&) const
  2.63      2.19     0.08 19634879     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_right(std::_Rb_tree_node_base*)
  2.46      2.26     0.07  1000000     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_get_insert_unique_pos(int const&)
  2.11      2.32     0.06 14530787     0.00     0.00  AVLTreeInternals::AVLTreeBase<int, std::less<int> >::calculateBalanceFactor(AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*)
  1.75      2.37     0.05   398833     0.00     0.00  AVLTreeInternals::AVLTreeBase<int, std::less<int> >::remove(AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, bool)
  1.58      2.42     0.05 49003284     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_key(std::_Rb_tree_node<int> const*)
  1.58      2.46     0.05 37643941     0.00     0.00  AVLTreeInternals::AVLTreeBase<int, std::less<int> >::TEqual(int const&, int const&) const
  1.40      2.50     0.04  1000000     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::equal_range(int const&)
  1.40      2.54     0.04   398833     0.00     0.00  AVLTreeInternals::AVLTreeBase<int, std::less<int> >::balanceRemove(AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*)
  1.23      2.58     0.04 19238184     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_left(std::_Rb_tree_node_base*)
  1.05      2.61     0.03 49003284     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr() const
  1.05      2.64     0.03        2    15.00    20.00  AVLTreeInternals::AVLTreeBase<int, std::less<int> >::~AVLTreeBase()
  0.88      2.66     0.03                             AVLTree<int, std::less<int> >::sideways(AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, int) const
  0.70      2.68     0.02 49003284     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr() const
  0.70      2.70     0.02   632027     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<int> > >::deallocate(std::allocator<std::_Rb_tree_node<int> >&, std::_Rb_tree_node<int>*, unsigned long)
  0.35      2.71     0.01 49003284     0.00     0.00  std::_Rb_tree_node<int>::_M_valptr() const
  0.35      2.72     0.01 49003284     0.00     0.00  std::_Identity<int>::operator()(int const&) const
  0.35      2.73     0.01  1264054     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr()
  0.35      2.74     0.01  1000000     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_erase_aux(std::_Rb_tree_const_iterator<int>, std::_Rb_tree_const_iterator<int>)
  0.35      2.75     0.01   632027     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<int> >::deallocate(std::_Rb_tree_node<int>*, unsigned long)
  0.35      2.76     0.01   632027     0.00     0.00  void std::allocator_traits<std::allocator<std::_Rb_tree_node<int> > >::construct<int, int>(std::allocator<std::_Rb_tree_node<int> >&, int*, int&&)
  0.35      2.77     0.01   632027     0.00     0.00  std::_Rb_tree_iterator<int> std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_insert_<int, std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_Alloc_node>(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, int&&, std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_Alloc_node&)
  0.35      2.78     0.01   631919     0.00     0.00  AVLTreeInternals::AVLTreeBase<int, std::less<int> >::balanceInsert(AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*)
  0.35      2.79     0.01   399320     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_upper_bound(std::_Rb_tree_node<int>*, std::_Rb_tree_node_base*, int const&)
