#_Elements,AVL_Insert,AVL_Delete,SET_Insert,SET_Delete,INSERT_DIFF,DELETE_DIFF
100000,65,54,40,43,62.5,25.5814
200000,146,138,96,101,52.0833,36.6337
300000,315,314,243,251,29.6296,25.0996
400000,511,368,235,251,117.447,46.6135
500000,556,541,390,384,42.5641,40.8854
600000,752,719,497,615,51.3078,16.9106
700000,1187,1057,754,584,57.4271,80.9932
800000,1103,991,670,648,64.6269,52.9321
900000,1259,1155,1032,1074,21.9961,7.5419
1000000,1543,1320,906,898,70.3091,46.9933
1100000,1708,1668,1152,990,48.2639,68.4848
1200000,2004,1713,1117,1117,79.4091,53.3572
1300000,2131,1961,1302,1291,63.6713,51.8978
1400000,2344,2114,1414,1389,65.7709,52.1958
1500000,2870,2380,1914,1823,49.9478,30.554
1600000,2826,2581,1697,1827,66.5292,41.2698
1700000,3195,2739,1822,1765,75.3568,55.1841
1800000,3417,3165,2077,2389,64.5161,32.4822
1900000,3851,3601,2176,2343,76.9761,53.6918
2000000,4151,3500,2258,2196,83.8353,59.3807
2100000,4130,3720,2410,2357,71.3693,57.8277
2200000,4334,3951,2598,2729,66.8206,44.7783
2300000,4603,4235,2778,2704,65.6947,56.6198
2400000,4861,4474,2913,2846,66.8726,57.2031
2500000,5177,4699,3032,2968,70.7454,58.3221
2600000,5443,4974,3162,3060,72.1379,62.549
2700000,5592,4998,3223,3144,73.5029,58.9695
2800000,5665,5748,3414,3334,65.9344,72.4055
2900000,5804,5314,3360,3322,72.7381,59.9639
3000000,5963,5436,3555,3399,67.7356,59.9294
3100000,6116,5503,3587,3446,70.5046,59.6924
3200000,6280,5586,3677,3542,70.7914,57.7075
3300000,6755,5748,3851,4606,75.409,24.7937
3400000,7006,6095,4000,3872,75.15,57.4122
3500000,6979,6435,4192,4031,66.4838,59.6378
3600000,7237,6655,4332,4178,67.0591,59.2867
3700000,7487,6856,4466,4338,67.6444,58.0452
3800000,7795,7120,4664,4675,67.1312,52.2995
3900000,8352,7357,4758,4680,75.5359,57.2009
4000000,8421,7679,4965,4835,69.6073,58.8211
4100000,8656,7962,5140,5024,68.4047,58.4793
4200000,9316,8126,5256,5150,77.2451,57.7864
4300000,9218,8437,5402,5424,70.6405,55.5494
4400000,9472,8762,5703,5873,66.088,49.1912
