#_Elements,AVL_Insert,AVL_Delete,SET_Insert,SET_Delete,INSERT_DIFF,DELETE_DIFF
100000,62,56,41,45,51.2195,24.4444
200000,140,141,97,112,44.3299,25.8929
300000,248,235,162,176,53.0864,33.5227
400000,370,357,253,239,46.2451,49.3724
500000,524,515,343,356,52.7697,44.6629
600000,688,650,437,429,57.4371,51.5152
700000,851,798,563,548,51.1545,45.6204
800000,1041,954,655,644,58.9313,48.1366
900000,1232,1115,780,763,57.9487,46.1337
1000000,1421,1322,870,860,63.3333,53.7209
1100000,1602,1474,1020,975,57.0588,51.1795
1200000,1835,1659,1118,1085,64.1324,52.9032
1300000,2402,2077,1242,1212,93.3977,71.3696
1400000,2266,2103,1439,1473,57.4705,42.7699
1500000,2885,2329,1581,1523,82.4794,52.9219
1600000,2782,2524,1832,1684,51.8559,49.8812
1700000,3035,2708,1807,1792,67.9579,51.1161
1800000,3289,2982,1991,1911,65.1934,56.044
1900000,3529,3199,2169,2092,62.7017,52.9159
2000000,3785,3464,2238,2214,69.1242,56.4589
2100000,4085,3716,2417,2355,69.0112,57.7919
2200000,4303,3899,2613,2506,64.6766,55.5866
2300000,4527,4158,2764,2686,63.7844,54.8027
2400000,4888,4449,2896,2822,68.7845,57.6541
2500000,5125,4713,3066,2990,67.1559,57.6254
2600000,5430,5026,3190,3121,70.2194,61.0381
2700000,5666,5107,3347,3283,69.2859,55.5589
2800000,5962,5399,3671,3491,62.4081,54.6548
2900000,6294,5764,3655,3575,72.2025,61.2308
3000000,6541,6000,3886,3791,68.3222,58.2696
3100000,7044,6252,4117,4034,71.0955,54.9826
3200000,7163,6542,4211,4095,70.1021,59.7558
3300000,7347,6661,4409,4299,66.6364,54.943
3400000,7779,7140,4535,4332,71.5325,64.8199
3500000,7909,7248,5476,5220,44.4302,38.8506
3600000,9417,7759,4808,4724,95.8611,64.2464
3700000,8417,7735,4934,4844,70.5918,59.6821
3800000,8658,7923,5080,4985,70.4331,58.9368
3900000,9033,8214,5308,5169,70.1771,58.9089
4000000,9368,8598,5513,5376,69.9256,59.933
4100000,9645,8870,5739,5595,68.0606,58.5344
4200000,9961,9025,5865,6124,69.838,47.371
4300000,10367,9449,6025,5873,72.0664,60.8888
4400000,10598,9731,6255,6024,69.4325,61.5372
4500000,10916,9926,6520,6256,67.4233,58.6637
4600000,11261,10439,6495,6372,73.3795,63.8261
4700000,11518,10460,6543,6421,76.0355,62.903
4800000,11297,10282,6644,6387,70.0331,60.9832
4900000,11390,10314,6615,6462,72.1844,59.61
5000000,11308,10320,6447,6367,75.3994,62.0858
5100000,11085,10063,6457,6299,71.6742,59.7555
5200000,11145,10058,6556,6469,69.9969,55.48
5300000,11207,10260,6635,6523,68.9073,57.2896
5400000,11745,10621,6813,6639,72.391,59.9789
5500000,11822,10897,7019,6879,68.4286,58.4097
5600000,12204,11117,7204,7050,69.4059,57.6879
5700000,12513,11411,7442,7435,68.1403,53.4768
5800000,13101,11858,7709,7421,69.9442,59.7898
5900000,13380,11924,7745,7690,72.7566,55.0585
6000000,13468,12387,7883,7732,70.8487,60.2043
6100000,13756,12650,8058,7913,70.7123,59.8635
6200000,14012,12794,8232,8134,70.2138,57.2904
6300000,14330,13168,8450,8293,69.5858,58.7845
6400000,14752,13447,8703,8474,69.5048,58.6854
6500000,15083,13838,8886,8726,69.7389,58.5835
6600000,15413,14162,9003,8790,71.1985,61.1149
6700000,15647,14315,9204,9129,70.0022,56.808
6800000,15769,14410,9352,9246,68.6163,55.8512
6900000,16164,14787,9506,9328,70.04,58.5227
7000000,16527,15217,9699,9568,70.399,59.0406
7100000,16984,15674,9957,9688,70.5735,61.7878
7200000,17276,15786,10131,9898,70.5261,59.4868
7300000,17681,16093,10295,10088,71.7436,59.5262
7400000,17792,16248,10450,10319,70.2584,57.4571
7500000,18267,16850,10801,10612,69.1232,58.7825
7600000,18639,17165,10898,10727,71.0314,60.0168
7700000,19045,17552,11208,11042,69.9233,58.9567
7800000,19123,17525,11267,11149,69.7257,57.189
7900000,19438,17777,11541,11343,68.4256,56.7222
8000000,20002,18505,11568,11437,72.908,61.7994
8100000,20289,18693,11905,11770,70.4242,58.819
8200000,20699,19056,11980,11998,72.7796,58.8265
